Artist,City,Country (ISO 3166-1),Region (ISO 3166-2),Language (ISO 639-1)
Faith No More,San Francisco,US,US-CA,en
Jamiroquai,London,GB,GB-ENG,en
No Doubt,Anaheim,US,US-CA,en
Natalia Lafourcade,Mexico City,MX,MX-CMX,es
Megadeth,Los Angeles,US,US-CA,en
Sting,Newcastle,GB,GB-ENG,en
Snoop Dogg,Long Beach,US,US-CA,en
Thievery Corporation,"Washington, D.C.",US,US-DC,en
Air Supply,Melbourne,AU,AU-VIC,en
The Flaming Lips,Oklahoma City,US,US-OK,en
Jewel,Homer,US,US-AK,en
Public Enemy,Long Island,US,US-NY,en
KMFDM,Hamburg,DE,DE-HH,en
Eddie Santiago,Toa Alta,PR,US-PR,es
The Dead Weather,Nashville,US,US-TN,en
Whitesnake,London,GB,GB-ENG,en
José José,Mexico City,MX,MX-CMX,es
Dead Kennedys,San Francisco,US,US-CA,en
Solange,Houston,US,US-TX,en
James Blake,London,GB,GB-ENG,en
10cc,Stockport,GB,GB-ENG,en
Incubus,Calabasas,US,US-CA,en
50 Cent,New York City,US,US-NY,en
King Gizzard & The Lizard Wizard,Melbourne,AU,AU-VIC,en
Jefferson Airplane,San Francisco,US,US-CA,en
t.A.T.u.,Moscow,RU,RU-MOW,ru
Styx,Chicago,US,US-IL,en
Chumbawamba,Burnley,GB,GB-ENG,en
Keb' Mo',Compton,US,US-CA,en
Vicente Fernández,Guadalajara,MX,MX-JAL,es
