Artist,City,Country (ISO 3166-1),Region (ISO 3166-2),Language (ISO 639-1)
"Chucklehead Chimps Tree Vandalism","New York City","US","US-NY","en"
"Chris Thomas King","Baton Rouge","US","US-LA","en"
"City Sleeps","Jacksonville","US","US-FL","en"
"Coyote J. Calhoun","Mobile","US","US-AL","en"
"Crag Legs","San Marcos","US","US-TX","en"
"Not Half Bad","Fort Worth","US","US-TX","en"
"Cubic Zirconia","New York City","US","US-NY","en"
"Bobby Brown","Boston","US","US-MA","en"
"Dan Black","Reading","GB","GB-RDG","en"
"Danger","Lyon","FR","FR-69","en"
"DatA","Paris","FR","FR-75","en"
"Deastro","Detroit","US","US-MI","en"
"Dink Roberts","Haw River","US","US-NC","en"
"Discovery","New York City","US","US-NY","en"
"Earl Scruggs","Shelby","US","US-NC","en"
"Doc Watson","Deep Gap","US","US-NC","en"
"Ricky Skaggs","Cordell","US","US-KY","en"
"Emanuel","Louisville","US","US-KY","en"
"Emigrate","Berlin","DE","DE-BE","en"
"Fairfield Four","Nashville","US","US-TN","en"
"Five Man Electrical Band","Ottawa","CA","CA-ON","en"
"The Legion Of Doom","Columbus","US","US-OH","en"
"Free Blood","Brooklyn","US","US-NY","en"
"Goose","Kortrijk","BE","BE-VWV","en"
"Harry McClintock","Knoxville","US","US-TN","en"
"Hockey","Portland","US","US-OR","en"
"Iglu & Hartly","Los Angeles","US","US-CA","en"
"It Dies Today","Buffalo","US","US-NY","en"
"Fela Kuti","Abeokuta","NG","NG-OG","en"
"Jeannie C. Riley","Anson","US","US-TX","en"
"John Harrison","Wichita","US","US-KS","en"
"John Snipes","Hillsborough","US","US-NC","en"
"Julian Plenti","New York City","US","US-NY","en"
"Junior Boys","Hamilton","CA","CA-ON","en"
"DJ Skeet Skeet","Los Angeles","US","US-CA","en"
"Ratatat","Brooklyn","US","US-NY","en"
"Kid Sister","Chicago","US","US-IL","en"
"Richard Herrera","Miami","US","US-FL","es"
"The East Side Boys","Atlanta","US","US-GA","en"
"Pastor Troy","Augusta","US","US-GA","en"
"Wisin","Cayey","PR","PR-CA","es"
"Yandel","Cayey","PR","PR-CA","es"
"Timbaland","Norfolk","US","US-VA","en"
"N.O.R.E.","Queens","US","US-NY","en"
"Maldita Vecindad","Mexico City","MX","MX-CMX","es"
"Maximianno Cobra","Rio de Janeiro","BR","BR-RJ","en"
"Mike Bloomfield","Chicago","US","US-IL","en"
"Al Kooper","Brooklyn","US","US-NY","en"
"Steve Stills","Dallas","US","US-TX","en"
"Uffie","Miami","US","US-FL","en"
"Feadz","Paris","FR","FR-75","en"
"Moodymann","Detroit","US","US-MI","en"
"Muscles","Melbourne","AU","AU-VIC","en"
"N.A.S.A","Los Angeles","US","US-CA","en"
"Noah and the Whale","Twickenham","GB","GB-RIC","en"
"Paper Route","Nashville","US","US-TN","en"
"Pete and the Pirates","Reading","GB","GB-RDG","en"
"Public Image Ltd.","London","GB","GB-LND","en"
"René Moore","Los Angeles","US","US-CA","en"
"Angela Winbush","St. Louis","US","US-MO","en"
"Rocko","Atlanta","US","US-GA","en"
"Amber Coffman","Austin","US","US-TX","en"
"Sub Focus","London","GB","GB-LND","en"
"Say Hi","Seattle","US","US-WA","en"
"Shadows Fall","Springfield","US","US-MA","en"
"Skinshape","Dorset","GB","GB-DOR","en"
"Songs: Ohia","Lorain","US","US-OH","en"
"Jackson Browne","Heidelberg","DE","DE-BW","en"
"The Cox Family","Cotton Valley","US","US-LA","en"
"The Friends of Distinction","Los Angeles","US","US-CA","en"
"The Hood Internet","Chicago","US","US-IL","en"
"The J. Geils Band","Worcester","US","US-MA","en"
"The Mighty Rhyeders","Miami","US","US-FL","en"
"The Pains of Being Pure at Heart","Brooklyn","US","US-NY","en"
"The Presets","Sydney","AU","AU-NSW","en"
"The Soggy Bottom Boys","Nashville","US","US-TN","en"
"The Stanley Brothers","McClure","US","US-VA","en"
"The Whites","Wichita Falls","US","US-TX","en"
"Walter Egan","New York City","US","US-NY","en"
"Wiley","London","GB","GB-LND","en"
"Woolfy","Los Angeles","US","US-CA","en"
"Yacht","Portland","US","US-OR","en"
"Bobby McFerrin","New York City","US","US-NY","en"
"Youssoupha","Kinshasa","CD","CD-KN","fr"
